Device_ID,IMEI,WiFi MAC ID,Charger Cable Connected,Charging,Button Test,Battery Percentage,NOR Flash Test,EEPROM Test,EEPROM ERASE Test,GPS Test,RTC Test,Scanner 1 Test,Scanner 2 Test,WiFi Test,Validity,Board Test Result,TimeStamp,Server,Product code,Start_up packet,Health packet,comm_mode,comm_mode,wifi_fw_ver,firmware_version,hardware_version,communication_mode,BLE Scanner,Lora Scanner,Application Test Result
GSWCL00067,8.67689E+14,08:3A:8D:2A:F8:78,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:01:22,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00068,8.67689E+14,D4:D4:DA:20:3E:4C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:07:56,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00069,8.67689E+14,08:3A:8D:2A:F7:18,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 18:13:04,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00070,8.67689E+14,08:3A:8D:2A:F5:F0,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 17:27:25,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00071,8.67689E+14,D4:D4:DA:20:20:4C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 17:53:09,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00072,8.67689E+14,08:3A:8D:2A:F6:84,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:00:36,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00073,8.67689E+14,08:3A:8D:2A:F8:9C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 17:38:55,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00074,8.67689E+14,08:3A:8D:2A:F8:5C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:11:37,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00075,8.67689E+14,D4:D4:DA:20:3D:68,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 16:38:35,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00076,8.67689E+14,08:3A:8D:2A:F7:64,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 18:03:42,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00077,8.67689E+14,08:3A:8D:2A:F9:98,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:16:31,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00078,8.67689E+14,D4:D4:DA:20:3D:40,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:01:12,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
