Device_ID,User Switch,Flash,Temperature Sensor,Temperature,Humidity,Radio,Sleep Current (uA),Date
H4200166,1,1,1,28.8,52,1,5.6292644,13:02:2024 16:09:31
H4200167,1,1,1,29.3,49,1,4.967725,13:02:2024 16:26:16
H4200168,1,1,1,30.3,44,1,5.6271539,13:02:2024 16:41:59
H4200169,1,1,1,29.3,44,1,4.7731707,13:02:2024 16:21:57
H4200170,1,1,1,29,47,1,5.0656957,13:02:2024 16:19:07
H4200171,1,1,1,29.4,52,1,5.0653451,13:02:2024 16:55:40
H4200172,1,1,1,28.9,52,1,4.9471171,13:02:2024 16:18:35
H4200173,1,1,1,29.3,52,1,4.3449836,13:02:2024 16:18:06
H4200174,1,1,1,29,51,1,4.3913503,13:02:2024 16:08:17
H4200175,1,1,1,30,40,1,3.4177313,13:02:2024 16:30:08
H4200176,1,1,1,29.2,52,1,4.3758637,13:02:2024 16:21:00
H4200177,1,1,1,29.4,45,1,6.1696867,13:02:2024 16:57:29
H4200178,1,1,1,29.2,46,1,5.0350559,13:02:2024 17:00:14
H4200179,1,1,1,28.9,50,1,6.1238888,13:02:2024 16:07:22
H4200180,1,1,1,29.4,49,1,4.9880841,13:02:2024 16:36:21
H4200181,1,1,1,28.2,48,1,4.7369827,13:02:2024 16:09:06
H4200182,1,1,1,30.1,43,1,4.749626,13:02:2024 16:29:12
H4200183,1,1,1,28.7,52,1,3.4205401,13:02:2024 16:20:33
H4200184,1,1,1,28.9,52,1,4.973459,13:02:2024 16:26:43
H4200185,1,1,1,29.1,53,1,7.0212216,13:02:2024 16:08:42
H4200186,1,1,1,29,49,1,3.4457029,13:02:2024 16:10:26
H4200187,1,1,1,28.4,45,1,7.0971991,13:02:2024 16:09:59
H4200188,1,1,1,29.6,50,1,7.0611436,13:02:2024 16:59:48
H4200189,1,1,1,30.2,43,1,4.8976407,13:02:2024 16:38:15
H4200190,1,1,1,30,45,1,6.189707,13:02:2024 16:05:42
H4200191,1,1,1,29.1,52,1,4.8136233,13:02:2024 16:03:23
H4200192,1,1,1,29.4,49,1,4.9528306,13:02:2024 16:37:48
H4200193,1,1,1,29.9,44,1,5.0145255,13:02:2024 16:01:37
H4200194,1,1,1,30.1,43,1,4.9743268,13:02:2024 16:17:35
H4200195,1,1,1,29.1,53,1,4.8233149,13:02:2024 16:17:08
H4200196,1,1,1,28.1,52,1,5.6797815,13:02:2024 16:24:26
H4200197,1,1,1,29.5,52,1,6.1043674,13:02:2024 16:05:16
H4200198,1,1,1,29,51,1,4.7912629,13:02:2024 16:57:05
H4200199,1,1,1,28.8,52,1,3.6380312,13:02:2024 16:06:54
H4200200,1,1,1,29.5,50,1,4.8405091,13:02:2024 16:04:14
H4200201,1,1,1,30.2,41,1,4.772442,13:02:2024 15:53:31
H4200202,1,1,1,28.9,51,1,4.8367628,13:02:2024 15:19:52
H4200203,1,1,1,28.5,51,1,4.7838844,13:02:2024 15:48:30
H4200204,1,1,1,29.4,49,1,6.1907774,13:02:2024 15:42:44
H4200205,1,1,1,29.9,45,1,5.6192679,13:02:2024 15:53:02
H4200206,1,1,1,28.6,51,1,5.6577769,13:02:2024 15:42:12
H4200207,1,1,1,28.6,52,1,5.0699679,13:02:2024 15:50:55
H4200208,1,1,1,29.1,49,1,3.6532124,13:02:2024 15:45:23
H4200209,1,1,1,29.7,48,1,4.7993078,13:02:2024 15:02:41
H4200210,1,1,1,28.7,52,1,5.0334903,13:02:2024 15:03:45
H4200211,1,1,1,28.4,53,1,4.8000873,13:02:2024 15:49:27
H4200212,1,1,1,29.7,51,1,4.3822832,13:02:2024 15:44:08
H4200213,1,1,1,29.2,53,1,5.0825691,13:02:2024 15:50:16
H4200214,1,1,1,29,45,1,5.6923851,13:02:2024 15:27:31
H4200215,1,1,1,28.8,50,1,7.0404292,13:02:2024 15:31:17
H4200216,1,1,1,29.9,46,1,5.0761769,13:02:2024 15:24:08
H4200217,1,1,1,30.1,44,1,7.0836942,13:02:2024 15:47:54
H4200218,1,1,1,30,45,1,6.1280641,13:02:2024 15:25:07
H4200219,1,1,1,29.6,51,1,7.060665,13:02:2024 15:41:01
H4200220,1,1,1,30,44,1,4.731893,13:02:2024 15:20:20
H4200221,1,1,1,29.2,53,1,3.4476714,13:02:2024 15:07:44
H4200222,1,1,1,30.1,43,1,6.1999075,13:02:2024 15:30:42
H4200223,1,1,1,29.3,51,1,3.4445771,13:02:2024 15:44:35
H4200224,1,1,1,30.2,44,1,7.0379984,13:02:2024 15:26:07
H4200225,1,1,1,29.2,52,1,6.1796722,13:02:2024 15:43:30
H4200226,1,1,1,28.7,43,1,5.03569,13:02:2024 15:47:24
H4200227,1,1,1,29.5,51,1,6.1441995,13:02:2024 15:55:59
