Device_ID,Temperature Sensor,Temperature,Humidity,Sleep Current,TimeStamp,
S3600197,1,28.9,51,25.16797,03:06:2023 18:23:21,
S3600198,1,28.9,53,27.095958,03:06:2023 18:22:37,
S3600199,1,29.2,50,17.0269581,04:06:2023 18:15:29,
S3600200,1,29,53,27.1967072,03:06:2023 18:26:06,
S3600201,1,29,52,15.3755441,04:06:2023 11:51:53,
S3600202,1,29,52,20.358862,04:06:2023 11:43:49,
S3600203,1,28.9,45,20.6335239,04:06:2023 11:00:49,
S3600204,1,29,52,20.7373373,04:06:2023 11:46:53,
S3600205,1,29.1,47,19.3813541,04:06:2023 11:24:16,
S3600206,1,29.9,43,18.5164153,04:06:2023 11:22:24,
S3600207,1,28.6,50,17.7023203,04:06:2023 11:12:26,
S3600208,1,29.1,53,18.019956,04:06:2023 11:08:19,
S3600209,1,29.4,51,21.3195641,04:06:2023 12:27:22,
S3600210,1,29.2,51,17.4527691,04:06:2023 12:08:28,
S3600211,1,29.4,49,22.893741,04:06:2023 12:19:27,
S3600212,1,28.5,52,18.4891206,04:06:2023 12:19:01,
S3600213,1,29.2,49,18.8024563,04:06:2023 12:21:49,
S3600214,1,29.3,44,17.7007563,04:06:2023 12:20:03,
S3600215,1,29.4,50,19.3270042,04:06:2023 12:23:24,
S3600216,1,28.7,44,27.0582835,04:06:2023 12:35:02,
S3600217,1,29.2,50,21.3156972,04:06:2023 12:34:37,
S3600218,1,29.5,52,17.3751614,04:06:2023 12:26:29,
S3600219,1,29.2,53,20.0640058,04:06:2023 12:28:19,
S3600220,1,29.4,51,20.8935038,04:06:2023 12:05:27,
S3600221,1,29,48,18.3460579,04:06:2023 12:45:17,
S3600222,1,28.7,52,17.1530766,04:06:2023 12:44:07,
S3600223,1,29.1,50,18.3991341,04:06:2023 12:45:43,
S3600224,1,29.4,54,18.3763552,04:06:2023 12:43:15,
S3600225,1,29,52,22.3627606,04:06:2023 11:14:54,
S3600226,1,28.6,43,17.1170681,04:06:2023 11:02:49,
S3600227,1,28.8,54,17.904232,04:06:2023 10:59:00,
S3600228,1,28.8,49,22.1177976,04:06:2023 11:55:22,
S3600229,1,28.8,45,20.1691732,04:06:2023 11:05:04,
S3600230,1,28.3,43,22.296395,04:06:2023 11:13:59,
S3600231,1,29.6,52,26.7051019,04:06:2023 11:21:56,
S3600232,1,28.3,53,20.1276695,04:06:2023 11:03:56,
S3600233,1,28.3,45,24.3327855,04:06:2023 11:07:52,
S3600234,1,28.7,48,20.3001383,04:06:2023 11:38:01,
S3600235,1,29,50,17.7264495,04:06:2023 11:21:14,
S3600236,1,29.2,52,22.749578,04:06:2023 11:47:22,
S3600237,1,28.3,44,21.0449192,04:06:2023 11:59:08,
S3600238,1,28.6,44,17.4646703,04:06:2023 11:36:40,
S3600239,1,28.5,52,22.070284,04:06:2023 11:27:09,
S3600240,1,29.5,49,22.3433738,04:06:2023 12:15:08,
S3600241,1,29,51,25.0868917,04:06:2023 11:23:19,
S3600242,1,28.6,45,19.5960552,04:06:2023 11:17:42,
S3600243,1,28.9,52,26.6860395,04:06:2023 11:24:50,
S3600244,1,29.5,51,24.6370294,04:06:2023 11:16:19,
S3600245,1,28.4,42,23.687186,04:06:2023 11:22:51,
S3600246,1,29.9,52,23.1966562,04:06:2023 12:49:07,
S3600247,1,29.1,48,24.3780233,04:06:2023 11:37:06,
S3600248,1,29.6,51,15.4158773,04:06:2023 11:18:49,
S3600249,1,28.9,47,21.0094501,04:06:2023 11:58:43,
S3600250,1,28.6,53,19.9638037,04:06:2023 12:04:09,
S3600251,1,28.7,45,21.2871154,04:06:2023 12:09:49,
S3600252,1,29.9,43,17.1560976,04:06:2023 11:11:27,
S3600253,1,28.2,45,22.7397096,04:06:2023 12:05:01,
S3600254,1,28.7,45,23.1655238,04:06:2023 12:42:18,
S3600255,1,28.6,43,21.946655,04:06:2023 12:20:56,
S3600256,1,29.5,49,20.2131362,04:06:2023 12:16:11,
S3600257,1,28.9,53,21.2743252,04:06:2023 12:33:27,
S3600258,1,28.3,42,20.0400368,04:06:2023 11:58:14,
S3600259,1,29.9,44,20.7941009,04:06:2023 12:08:01,
S3600260,1,29.5,48,20.0321307,04:06:2023 11:45:58,
S3600261,1,29,52,17.1049896,04:06:2023 12:32:04,
S3600262,1,28.4,44,21.2311236,04:06:2023 12:36:48,
S3600263,1,29.4,45,18.7674938,04:06:2023 12:48:41,
S3600264,1,29.8,52,21.0988568,04:06:2023 12:22:21,
S3600265,1,28.8,52,16.8675936,04:06:2023 11:40:05,
S3600266,1,29.2,53,20.4973795,04:06:2023 12:31:05,
S3600267,1,28.6,52,20.4040137,04:06:2023 12:29:16,
S3600268,1,28.9,48,20.1688374,04:06:2023 12:23:53,
S3600269,1,29.3,38,20.4391622,04:06:2023 12:29:42,
S3600270,1,29.9,44,18.1708493,04:06:2023 11:13:06,
S3600271,1,28.2,44,25.9320727,04:06:2023 11:08:46,
S3600272,1,29.2,53,21.7334018,04:06:2023 11:09:14,
S3600273,1,28.9,53,18.3576412,04:06:2023 12:01:01,
S3600274,1,28.7,52,12.6636122,04:06:2023 12:02:54,
S3600275,1,29.7,50,21.6827628,04:06:2023 10:58:29,
